Receiver_ID,Filename,ImageSizeKB,ASCON_Time,Transmission_Time,Overall_Delay,Throughput_KBps
receiver1,WhatsApp Image 2026-07-21 at 23.20.32.jpeg,80.09,0.573944,0.000133,0.574077,602661.78
receiver1,WhatsApp Image 2026-07-21 at 23.20.32.jpeg,80.09,0.365148,0.000061,0.365209,1322202.69
